COIN,TSLA,ABEV,AAPL,ZLAB,BMBL,RLX,IOT,QQQM,GNS,TXT,DE,CEIX,BBY,ABT,KALA,AGCO,ABR,VOO,GERN
209.41,200.42,2.68,182.51,21.8,11.75,1.96,33.31,180.4,0.348,88.04,366.37,82.27,83.01,119.49,7.22,107.43,13.35,466.97,2.1
206.46,204.18,2.51,181.27,21.6,11.43,1.98,33.55,181.09,0.33,89.07,365.01,82.98,81.31,120.32,7.18,110.39,12.94,467.83,2.02
202.7,200.52,2.5,179.55,20.83,11.47,1.96,34.86,183.47,0.33,88.68,368.6,86.6,78.49,118.57,7.5,109.98,12.94,470.61,2.03
217.39,198.73,2.48,176.15,21.01,11.47,1.91,35.54,181.45,0.322,89.18,363.94,90.57,75.97,118.3,7.78,111.04,12.9,468.95,2.26
230.0,183.05,2.55,170.76,20.0,11.09,1.92,35.0,181.34,0.312,89.59,366.04,89.53,75.83,120.44,7.37,109.01,12.42,469.25,2.09
229.2,179.99,2.56,171.06,19.51,11.0,1.92,33.61,182.15,0.305,90.78,367.42,91.76,78.4,118.6,7.47,109.74,12.97,471.63,2.12
240.0,174.35,2.55,169.15,19.4,10.8,1.86,34.0,183.51,0.3,93.22,376.14,93.02,79.89,120.1,7.33,110.75,12.85,473.77,2.14
246.0,181.5,2.51,169.0,19.16,10.79,1.88,37.1,180.05,0.337,91.6,373.4,94.82,78.61,120.97,7.36,113.79,13.0,469.2,2.1
270.08,175.45,2.56,172.94,19.16,10.83,1.88,39.11,181.05,0.344,91.53,376.15,90.01,76.37,120.93,7.99,112.8,12.84,471.92,2.26
257.83,177.77,2.56,173.15,20.1,11.15,1.93,38.63,182.24,0.314,91.76,373.34,85.54,77.72,119.95,7.78,115.1,12.92,475.31,1.93
253.36,173.05,2.56,172.77,21.19,10.8,1.92,39.07,181.78,0.31,92.15,380.5,81.12,77.84,120.52,7.56,113.7,13.07,475.16,1.83
245.0,167.77,2.54,172.91,19.76,10.64,1.93,38.4,179.5,0.29,92.15,378.0,80.88,76.9,120.01,7.53,117.79,12.94,470.41,1.75
225.06,163.16,2.52,171.17,18.86,10.44,2.07,36.52,180.49,0.44,91.64,383.0,81.33,77.66,113.02,7.51,115.44,12.7,473.95,3.0
238.61,170.02,2.5,175.57,18.48,10.77,1.9,35.98,180.49,0.46,93.28,385.53,81.1,76.64,115.35,7.62,116.05,12.9,472.2,3.35
223.24,172.36,2.47,174.34,18.18,10.77,1.97,36.22,179.18,0.606,93.43,390.77,81.0,79.51,112.44,7.55,115.01,12.68,475.54,3.24
231.38,173.0,2.47,175.72,18.01,10.89,1.97,36.28,180.95,0.51,94.2,393.88,82.0,79.51,113.0,7.68,115.75,12.61,482.62,3.22
260.24,176.39,2.5,177.05,17.2,11.08,2.1,36.41,184.68,0.59,95.25,398.47,84.0,78.57,111.95,7.69,118.09,13.12,479.87,3.48
254.24,166.69,2.49,171.76,16.4,10.85,2.04,36.86,183.25,0.47,95.71,398.8,85.14,83.0,111.52,8.0,118.45,13.05,479.87,3.31
261.0,168.76,2.49,170.57,16.23,10.92,2.07,36.9,182.42,0.395,95.84,398.32,85.77,81.42,110.45,8.0,118.58,12.96,477.73,3.3
280.12,178.58,2.48,170.0,16.17,11.12,2.0,39.0,183.61,0.41,95.82,398.0,79.81,80.62,110.49,7.85,118.32,13.05,479.06,3.28
276.22,181.41,2.46,170.41,16.3,11.06,1.89,39.5,183.69,0.45,96.33,398.0,80.96,80.35,112.0,7.7,118.41,12.93,479.51,3.31
260.21,177.45,2.47,171.75,16.43,11.19,1.91,38.12,183.04,0.457,96.44,408.58,83.55,82.07,113.28,7.83,122.0,13.27,480.87,3.32
261.87,176.17,2.46,171.19,16.16,11.42,1.9,37.6,183.08,0.476,95.91,410.17,83.9,82.1,113.66,8.0,123.93,13.26,481.44,3.27
238.09,164.69,2.43,169.06,16.16,11.22,1.88,35.15,181.02,0.4151,94.99,405.0,83.41,81.16,111.89,8.0,121.23,12.97,476.33,3.14
